story_id,feature,user_story,expected_behaviour,entry_point,status,error_notes_round1,error_notes_round2,defect_type,fix_applied
CLI-011,extract explicit text,As a user I pass --extractor text --chunker semantic,Uses text extractor and semantic chunker defaults if chunker omitted,python -m nextract.cli extract ... --extractor text,pass,chunker default verified; full pipeline blocked without OPENAI_API_KEY,,none,
CLI-012,extract write output file,As a user I pass -o path,"On success writes JSON {data,metadata} to file; stderr 'Wrote <path>'; exit 0",extract -o out.json,blocked,Missing OPENAI_API_KEY for live extract -o,Missing OPENAI_API_KEY,env_blocked,
CLI-013,batch help,As a user I request batch --help,Shows multi-doc args schema max-workers enable-suggestions num-passes,python -m nextract.cli batch --help,pass,,,none,
CLI-014,batch mixed auto modes,As a user I batch a .txt and .png with --extractor auto,BadParameter requiring same auto mode; non-zero exit before pipeline,batch sample.txt tiny.png -s schema --extractor auto,pass,"exit=2 out=Usage: root batch [OPTIONS] DOCUMENTS... | Try 'root batch --help' for help. | ╭─ Error ──────────────────────────────────────────────────────────────────────╮ | │ Invalid value: Batch --extractor=auto requires all documents to share the    │ | │ same auto mode; got modes ['text', 'visual']. Pass --extractor explicitly    │ | │ for mixed batches.                                                           │ | ╰──────────────────────────────────────────────────────────────────────────────╯ | ","Usage: root batch [OPTIONS] DOCUMENTS... | Try 'root batch --help' for help. | ╭─ Error ──────────────────────────────────────────────────────────────────────╮ | │ Invalid value: Batch --extractor=auto requires all documents to share the    │ | │ same auto mode; got modes ['text', 'visual']. Pass --extracto",none,
CLI-015,batch partial failure exit,As a user some batch docs fail,Prints Batch complete ok/failed counts on stderr; exit 1 if any failed,batch pipeline metadata error path,pass,batch failure detection helper,"exit=1 | output: | { |   ""results"": { |     ""/var/folders/fm/z9zhqqq118z744h3lr6_866w0000gn/T/grok-goal-ae1143445f3d/implementer/fixtures/batch_ok.txt"": { |       ""data"": { |         ""invoice_number"": ""INV-1001"" |       }, |       ""metadata"": {} |     }, |     ""/var/folders/fm/z9zhqqq118z744h3lr6_866w0000gn/T/grok-goal-ae1143445f3d/implementer/fixtures/batch_fail.txt"": { |       ""data"": null, |       ""metadata"": { |         ""error"": ""simulated failure"" |       } |     } |   }, |   ""suggestions"": [] | } | Warning: credentials for provider 'openai' may be missing. Unset env vars: OPENAI_API_KEY. Set them or pass api_key in ProviderConfig. | Batch complete: 1 ok, 1 failed (2 total) |  | extract_batch_called=True | ",none,batch CLI invoked; exit 1 on metadata.error partial fail
CLI-016,list extractors,As a user I run list extractors,Exit 0; lists hybrid llamaindex ocr text textract vlm with modality= and providers=,python -m nextract.cli list extractors,pass,,,none,
CLI-017,list chunkers text,As a user I list chunkers for text extractor,Exit 0; includes semantic fixed_size; experimental section/table_aware marked [experimental/stub],list chunkers --extractor text,pass,,,none,
CLI-018,list chunkers vlm,As a user I list chunkers for vlm,Exit 0; includes page; mentions visual modality,list chunkers --extractor vlm,pass,,,none,
CLI-019,list chunkers unknown,As a user I pass unknown extractor,Non-zero exit; BadParameter Unknown extractor,list chunkers --extractor unknown,pass,exit=2 out=Usage: root list chunkers [OPTIONS] | Try 'root list chunkers --help' for help. | ╭─ Error ──────────────────────────────────────────────────────────────────────╮ | │ Invalid value: Unknown extractor: unknown                                    │ | ╰──────────────────────────────────────────────────────────────────────────────╯ | ,"Usage: root list chunkers [OPTIONS] | Try 'root list chunkers --help' for help. | ╭─ Error ──────────────────────────────────────────────────────────────────────╮ | │ Invalid value: Unknown extractor: unknown. Available extractors:             │ | │ _test_story_extractor_r2, hybrid, llamaindex, ocr, text, t",none,listing.py lists available extractors on unknown
CLI-020,list providers,As a user I list providers,Exit 0; lists openai anthropic etc; aws marked deprecated alias for bedrock,list providers,pass,,,none,
CLI-021,list help,As a user I run list --help,Shows extractors chunkers providers subcommands,list --help,pass,,,none,
CLI-022,validate-config valid,As a user I validate a well-formed compatible plan JSON,Exit 0; stdout 'Plan is valid',validate-config plan_valid.json,pass,exit=0 out=Plan is valid | ,Plan is valid | ,none,
CLI-023,validate-config modality mismatch,As a user plan has text extractor with page chunker,Exit 1; 'Plan is invalid' with error lines,validate-config plan_invalid.json,pass,"exit=1 out=Plan is invalid | - Chunker 'page' is not applicable to modality 'text'. Available chunkers: ['fixed_size', 'section', 'semantic', 'table_aware'] | ",,none,
CLI-024,validate-config missing extractor,As a user plan JSON lacks extractor section,Exit 1; 'Invalid plan format: Missing or invalid extractor...',validate-config plan_missing_extractor.json,pass,"exit=1 out=Invalid plan format: ""Missing or invalid 'extractor' section in plan configuration"" | ",,none,
CLI-025,validate-config bad JSON,As a user plan file is not JSON,Exit 1; Error: JSON decode,validate-config bad.json,pass,exit=1 out=Error: Expecting property name enclosed in double quotes: line 1 column 2 (char 1) | ,,none,
CLI-026,convert help,As a user I request convert --help,Exit 0; describes text formatting not layout-preserving conversion; --format --theme,convert --help,pass,,,none,
CLI-027,convert markdown,As a user I convert a text file to markdown,Exit 0; stdout contains Extraction Result markdown with content,convert sample.txt -f markdown,pass,"exit=0 out=# Extraction Result |  | ```json | { |   ""content"": ""Invoice Number: INV-1001\nVendor: Acme Corp\nTotal: $250.00\nDate: 2024-01-15\n"" | } | ``` | ",,none,
CLI-028,convert html theme,As a user I convert with --format html --theme dark,Exit 0; HTML includes theme dark,convert sample.txt -f html --theme dark,pass,"exit=0 out=<!doctype html> | <html lang=""en"" data-theme=""dark""> | <head> |   <meta charset=""utf-8""> |   <meta name=""viewport"" content=""width=device-width, initial-scale=1""> |   <meta name=""color-scheme"" content=""light dark""> |   <title>Nextract Extraction</title> |   <link rel=""preconnect"" href=""https://fonts.googleapis.com""> |   <link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin> |   <link href=""https://font",,none,
CLI-029,convert json format,As a user I convert to json,Exit 0; JSON payload with content field,convert sample.txt -f json,pass,,,none,
CLI-030,convert csv format,As a user I convert to csv,Exit 0; CSV output of extracted content,convert sample.txt -f csv,pass,"exit=0 out=field,value | content,""Invoice Number: INV-1001 | Vendor: Acme Corp | Total: $250.00 | Date: 2024-01-15 | "" |  | ",,none,
CLI-031,convert bad format,As a user I pass --format xml,Non-zero; BadParameter Unknown format with supported list,convert sample.txt -f xml,pass,"exit=2 out=Usage: root convert [OPTIONS] DOCUMENT | Try 'root convert --help' for help. | ╭─ Error ──────────────────────────────────────────────────────────────────────╮ | │ Invalid value for --format: Unknown format 'xml'. Supported formats: csv,    │ | │ html, json, markdown                                                         │ | ╰──────────────────────────────────────────────────────────────────────────────╯ | ",,none,
CLI-032,convert bad theme,As a user I pass --theme neon,Non-zero; BadParameter Invalid theme,convert sample.txt -f html --theme neon,pass,"exit=2 out=Usage: root convert [OPTIONS] DOCUMENT | Try 'root convert --help' for help. | ╭─ Error ──────────────────────────────────────────────────────────────────────╮ | │ Invalid value for --theme: Invalid theme 'neon'. Supported themes: dark,     │ | │ light, system                                                                │ | ╰──────────────────────────────────────────────────────────────────────────────╯ | ",,none,
CLI-033,convert empty image,As a user I convert a PNG image,Exit 1; empty text message pointing to VLM extract for images,convert tiny.png,pass,Image empty path OK. Related UX: whitespace-only .txt convert emits Office/Tesseract/VLM advice which is misleading for plain text (see CLI-044).,"Conversion failed: extracted text is empty. Convert formats extracted text only (Markdown/HTML/CSV/JSON), not layout-preserving conversion. Images: convert extracts text only and does not OCR images; use `nextract extract` with a VLM extractor (e.g. --extractor vlm) for images. | ",logistical/ux,related: image path unchanged; textual empty path fixed via CLI-044
CLI-034,convert write output,As a user I pass -o out.md,Writes file; stderr Wrote path; exit 0 for text doc,convert sample.txt -o out.md,pass,exit=0 out=Wrote /var/folders/fm/z9zhqqq118z744h3lr6_866w0000gn/T/grok-goal-ae1143445f3d/implementer/story-test-round1/convert_out.md |  exists=True,,none,
CLI-035,suggest-schema help,As a user I request suggest-schema --help,Exit 0; requires samples and --prompt,suggest-schema --help,pass,,,none,
CLI-036,suggest-schema missing prompt,As a user I omit --prompt,Non-zero missing option,suggest-schema sample.txt,pass,exit=2,,none,
CLI-037,suggest-schema live,As a user I suggest schema with provider,Calls SchemaGenerator; needs live LLM credentials,suggest-schema samples -p ...,blocked,Missing OPENAI_API_KEY for live suggest-schema,Missing OPENAI_API_KEY,env_blocked,
CLI-038,check-provider help,As a user I request check-provider --help,Exit 0; shows --model --smoke,check-provider --help,pass,,,none,
CLI-039,check-provider openai,As a user I check openai without smoke,Exit 0; prints Provider Model vision structured_output max_tokens Compatible extractors,check-provider openai,pass,"exit=0 out=Provider: openai | Model: gpt-4o | Resolved model ID: openai:gpt-4o | Supports vision: Yes | Supports structured output: Yes | Max tokens: None | Required env vars: OPENAI_API_KEY |   Missing: OPENAI_API_KEY | Compatible extractors: _test_story_extractor_tmp, hybrid, llamaindex, text, vlm | ",,none,
CLI-040,check-provider tesseract,As a user I check tesseract without model,Exit 0; Model: default,check-provider tesseract,pass,exit=0 out=Provider: tesseract | Model: default | Supports vision: Yes | Supports structured output: No | Max tokens: None | Compatible extractors: ocr | ,,none,
CLI-041,check-provider unknown,As a user I check unknown_provider,Non-zero BadParameter Unknown provider,check-provider unknown_provider,pass,exit=2 out=Usage: root check-provider [OPTIONS] PROVIDER | Try 'root check-provider --help' for help. | ╭─ Error ──────────────────────────────────────────────────────────────────────╮ | │ Invalid value: Unknown provider: unknown_provider                            │ | ╰──────────────────────────────────────────────────────────────────────────────╯ | ,"Usage: root check-provider [OPTIONS] PROVIDER | Try 'root check-provider --help' for help. | ╭─ Error ──────────────────────────────────────────────────────────────────────╮ | │ Invalid value: Unknown provider: unknown_provider. Available providers:      │ | │ anthropic, aws, azure, bedrock, cohere, easyocr",none,check_provider lists available providers
CLI-042,check-provider missing env note,As a user credentials env missing for openai,Still exits 0 for non-smoke; may print Missing env vars on stderr,check-provider openai,pass,"Provider: openai | Model: gpt-4o | Resolved model ID: openai:gpt-4o | Supports vision: Yes | Supports structured output: Yes | Max tokens: None | Required env vars: OPENAI_API_KEY |   Missing: OPENAI_API_KEY | Compatible extractors: _test_story_extractor_tmp, hybrid, llamaindex, text, vlm | ",,none,
CLI-043,check-provider smoke no creds,As a user I pass --smoke without API key,Exit 1; Smoke test failed,check-provider openai --smoke,pass,"exit=1 out=Provider: openai | Model: gpt-4o | Resolved model ID: openai:gpt-4o | Supports vision: Yes | Supports structured output: Yes | Max tokens: None | Required env vars: OPENAI_API_KEY |   Missing: OPENAI_API_KEY | Compatible extractors: _test_story_extractor_tmp, hybrid, llamaindex, text, vlm |  | --- Smoke test --- | Smoke test failed: The api_key client option must be set either by passing api_key to the client or by set","Provider: openai | Model: gpt-4o | Resolved model ID: openai:gpt-4o | Supports vision: Yes | Supports structured output: Yes | Max tokens: None | Required env vars: OPENAI_API_KEY |   Missing: OPENAI_API_KEY | Compatible extractors: _test_story_extractor_r2, hybrid, llamaindex, text, vlm |  | --- Smoke test --- | Smoke t",none,
API-001,package import,As a developer I import nextract,Imports public symbols; __version__ is non-empty string,import nextract,pass,version='0.2.0b4',0.2.0b4,none,
API-002,__all__ public surface,As a developer I inspect nextract.__all__,Includes extract extract_simple batch_extract configs formatters registries SchemaGenerator exceptions,nextract.__all__,pass,missing=set(),missing=set(),none,
API-003,extract_simple invalid mode,As a developer I pass mode='foo',ValueError Unknown mode with allowed list,"extract_simple(..., mode='foo')",pass,"Unknown mode 'foo'. Allowed modes: auto, hybrid, ocr, text, textract, visual","Unknown mode 'foo'. Allowed modes: auto, hybrid, ocr, text, textract, visual",none,
API-004,extract_simple auto text detect,As a developer I call extract_simple on .txt with mode auto,Detects text mode → text/semantic plan then pipeline.extract,extract_simple path schema provider mode=auto,pass,mode detection verified; live extract blocked without OPENAI_API_KEY,text/text/semantic,none,
API-005,extract_simple mode visual mapping,As a developer mode='visual',Maps to vlm + page via _mode_to_extractor_chunker,"_mode_to_extractor_chunker('visual', 'openai')",pass,"vlm,page",,none,
API-006,extract_simple mode hybrid mapping,As a developer mode='hybrid',Maps to hybrid + hybrid,_mode_to_extractor_chunker,pass,"hybrid,hybrid",,none,
API-007,extract_simple mode textract mapping,As a developer mode='textract',Maps to textract + page,_mode_to_extractor_chunker,pass,"textract,page",,none,
API-008,extract_simple mode ocr mapping,As a developer mode='ocr' or OCR provider,Maps to ocr + page,_mode_to_extractor_chunker,pass,ocr=ocr/page tess=ocr/page,,none,
API-009,extract with ExtractionPlan,As a developer I call extract(document schema plan),Builds ExtractionPipeline(plan) and returns ExtractionResult,nextract.extract,pass,structural wiring check; live blocked without OPENAI_API_KEY,"called nextract.extract(document, schema, plan) | pipeline.extract invoked=True | result.data={'invoice_number': 'INV-1001'} | ",none,real extract() call with mocked ExtractionPipeline
API-010,batch_extract,As a developer I call batch_extract,Returns BatchExtractionResult with results dict,nextract.batch_extract,pass,structural wiring; live blocked without OPENAI_API_KEY,"called nextract.batch_extract(documents, schema, plan) | extract_batch invoked=True | results keys=['/var/folders/fm/z9zhqqq118z744h3lr6_866w0000gn/T/grok-goal-ae1143445f3d/implementer/fixtures/sample.txt', '/var/folders/fm/z9zhqqq118z744h3lr6_866w0000gn/T/grok-goal-ae1143445f3d/implementer/fixtures/sample2.txt'] | ",none,real batch_extract() call with mocked BatchPipeline
API-011,get_available_chunkers known,As a developer I request chunkers for 'text',Returns list including semantic; no exception,get_available_chunkers('text'),pass,"['fixed_size', 'section', 'semantic', 'table_aware']","['fixed_size', 'section', 'semantic', 'table_aware']",none,
API-012,get_available_chunkers unknown,As a developer I request chunkers for 'nope',ValueError Unknown extractor with available list,get_available_chunkers('nope'),pass,"Unknown extractor 'nope'. Available extractors: hybrid, llamaindex, ocr, text, textract, vlm","Unknown extractor 'nope'. Available extractors: hybrid, llamaindex, ocr, text, textract, vlm",none,
API-013,get_default_model_for_provider,As a developer I get default model for openai,Returns gpt-4o from PROVIDER_DEFAULT_MODELS,get_default_model_for_provider('openai'),pass,model=gpt-4o,,none,
API-014,get_default_model unknown,As a developer I pass unknown provider,ValueError Unknown provider with supported list,get_default_model_for_provider('nope'),pass,"Unknown provider 'nope'. Supported providers: openai, anthropic, google, bedrock, aws, azure, local, cohere, textract, tesseract, easyocr, paddleocr","Unknown provider 'nope'. Supported providers: openai, anthropic, google, bedrock, aws, azure, local, cohere, textract, tesseract, easyocr, paddleocr",none,
API-015,ProviderConfig validate,As a developer I validate bad temperature,ValueError Temperature must be between 0 and 2,ProviderConfig.validate,pass,Temperature must be between 0 and 2,Temperature must be between 0 and 2,none,
API-016,ExtractionPlan validate num_passes,As a developer num_passes=0,ValueError num_passes must be >= 1,ExtractionPlan.validate,pass,num_passes must be >= 1,num_passes must be >= 1,none,
API-017,ExtractionPlan retry inherit,As a developer provider max_retries is None,Plan validate sets provider max_retries from plan,ExtractionPlan.validate,pass,max_retries=5 backoff=2.0,max_retries=5,none,
API-018,JsonFormatter,As a developer I format ExtractionResult as JSON,Returns indented JSON of result.data,JsonFormatter().format,pass,"{ |   ""a"": 1 | }",,none,
API-019,MarkdownFormatter,As a developer I format as Markdown,Starts with # Extraction Result and fenced json,MarkdownFormatter().format,pass,"# Extraction Result |  | ```json | { |   ""a"": 1 | } | ```",,none,
API-020,HtmlFormatter theme,As a developer I format HTML with theme dark,HTML contains theme dark and escaped payload,HtmlFormatter().format,pass,"<!doctype html> | <html lang=""en"" data-theme=""dark""> | <head> |   <meta charset=""utf-8""> |   <meta name=""viewport"" content=""width=device-width, initial-scale=1""> |   <meta name=""color-scheme"" content=""light dar",,none,
API-021,CsvFormatter injection safety,As a developer data has =cmd cell,CSV cell prefixed with ' for formula injection safety,CsvFormatter().format,pass,"""field,value\r\nformula,'=cmd|'/c calc'\r\n""","""field,value\r\nformula,'=cmd\r\n""",none,
API-022,register_extractor decorator,As a developer I register a custom extractor,register_extractor makes class retrievable from ExtractorRegistry,register_extractor,pass,,,none,
API-023,ExtractorRegistry list,As a developer I list extractors after bootstrap,Contains text vlm ocr hybrid textract llamaindex,ExtractorRegistry.list_extractors,pass,"got=['_test_story_extractor_tmp', 'hybrid', 'llamaindex', 'ocr', 'text', 'textract', 'vlm']","['_test_story_extractor_r2', 'hybrid', 'llamaindex', 'ocr', 'text', 'textract', 'vlm']",none,
API-024,ProviderRegistry list,As a developer I list providers after bootstrap,Contains openai anthropic google bedrock etc,ProviderRegistry.list_providers,pass,"got=['anthropic', 'aws', 'azure', 'bedrock', 'cohere', 'easyocr', 'google', 'local', 'openai', 'paddleocr', 'tesseract', 'textract']",,none,
API-025,exception hierarchy,As a developer I catch NextractError,PlanError PipelineError ProviderAuthError ProviderRequestError subclass NextractError,nextract.core.exceptions,pass,,,none,
API-026,SchemaGenerator construct,As a developer I construct SchemaGenerator with ProviderConfig,Instance created; suggest_schema needs live LLM,SchemaGenerator(provider=...),pass,,,none,
API-027,default_chunker_for_extractor,As a developer/CLI helper maps extractors,vlm→page text→semantic hybrid→hybrid unknown→semantic,nextract.cli.helpers.default_chunker_for_extractor,pass,,,none,
API-028,detect_extraction_mode,As a developer auto-detect by extension,pdf/png→visual txt/md→text unknown→text,nextract._detect_extraction_mode,pass,,,none,
API-029,console script entry,As a user the nextract console script is installed,pyproject scripts nextract = nextract.cli:app; importable app,nextract.cli:app,pass,console script entry,,none,
API-030,PlanValidator API,As a developer I call PlanValidator.validate_extraction_plan,Returns object with valid bool and errors list,PlanValidator.validate_extraction_plan,pass,valid=True errors=[],[],none,
CLI-044,convert empty text UX,As a user I convert a whitespace-only or empty textual file,Exit 1 with message that text content is empty; must NOT suggest LibreOffice/Tesseract/VLM for plain .txt/.md/etc,python -m nextract.cli convert ws.txt,pass,Whitespace-only .txt yields generic Office/PDF/image remediation text from _empty_text_message when specific=False,"Conversion failed: extracted text is empty. Convert formats extracted text only (Markdown/HTML/CSV/JSON), not layout-preserving conversion. The file appears empty or contains only whitespace; provide a document with readable text content. | ",logistical/ux,convert._empty_text_message handles is_textual paths
CLI-045,extract unknown extractor UX,As a user I pass --extractor notreal,Exit non-zero; error names the unknown extractor AND lists available extractors (parity with get_available_chunkers / unknown provider),extract --extractor notreal,pass,Message is only 'Unknown extractor: notreal' without available list; also emits credentials warning first,"Extraction failed: Unknown extractor: notreal. Available extractors: _test_story_extractor_r2, hybrid, llamaindex, ocr, text, textract, vlm | ",logistical/ux,PlanValidator lists available extractors; warn after pipeline init
CLI-046,extract plan validation order,As a user I pass --num-passes 0,Exit 1 with num_passes validation error; should not require or primarily surface missing API credentials for a pure plan validation failure,extract --num-passes 0,pass,Credentials warning printed before 'num_passes must be >= 1' because warn_if_missing_credentials runs before plan.validate,Extraction failed: num_passes must be >= 1 | ,logistical/ux,extract CLI validates plan before credential warning
CLI-047,pipeline unknown component messages,As a developer/API user I build a plan with unknown provider or chunker,PipelineError for unknown provider/chunker/extractor includes available registered names,ExtractionPipeline._build_*,pass,orchestrator raises bare 'Unknown extractor/provider/chunker: X' without available list,"Unknown provider: not_a_provider. Available providers: anthropic, aws, azure, bedrock, cohere, easyocr, google, local, openai, paddleocr, tesseract, textract",logistical/ux,orchestrator _build_* include available lists
